variant_type,qual_threshold,truth_total,truth_tp,truth_fn,query_fp,metric_recall,metric_precision,metric_f1_score
SNP,10486.700195,71333,0,71333,0,0.0,,
SNP,1049.640015,71333,17241,54092,25,0.24169699999999997,0.998552,0.389192
SNP,105.629997,71333,70718,615,340,0.9913780000000001,0.995217,0.993294
SNP,1050.640015,71333,17201,54132,25,0.241137,0.998549,0.388464
SNP,1051.640015,71333,17155,54178,25,0.240492,0.9985450000000001,0.387627
SNP,1052.640015,71333,17126,54207,25,0.240085,0.9985430000000001,0.387098
SNP,1053.640015,71333,17082,54251,25,0.239468,0.998539,0.38629600000000003
SNP,1054.640015,71333,17046,54287,25,0.23896399999999998,0.9985360000000001,0.385639
SNP,1055.640015,71333,17003,54330,25,0.23836100000000002,0.998532,0.384853
SNP,1056.640015,71333,16966,54367,25,0.237842,0.9985290000000001,0.384176
SNP,1057.640015,71333,16927,54406,24,0.237296,0.9985850000000001,0.383467
SNP,1058.640015,71333,16897,54436,24,0.236875,0.998582,0.382918
SNP,10583.599609,71333,0,71333,0,0.0,,
SNP,1059.640015,71333,16862,54471,24,0.236384,0.9985790000000001,0.382276
SNP,106.139999,71333,70715,618,339,0.9913360000000001,0.995231,0.9932799999999999
SNP,106.690002,71333,70710,623,337,0.991266,0.995259,0.993258
SNP,1060.640015,71333,16818,54515,24,0.235767,0.998575,0.381469
SNP,1061.640015,71333,16775,54558,24,0.235165,0.9985719999999999,0.380679
SNP,1062.640015,71333,16726,54607,24,0.23447800000000002,0.998568,0.379778
SNP,10627.599609,71333,0,71333,0,0.0,,
SNP,1063.640015,71333,16682,54651,24,0.233861,0.9985639999999999,0.37896799999999997
SNP,10636.599609,71333,0,71333,0,0.0,,
SNP,1064.640015,71333,16637,54696,23,0.23323000000000002,0.9986200000000001,0.378144
SNP,1065.640015,71333,16591,54742,23,0.232585,0.998616,0.377295
SNP,1066.640015,71333,16541,54792,23,0.231884,0.998612,0.376372
SNP,1067.640015,71333,16491,54842,23,0.231183,0.9986079999999999,0.375448
SNP,1068.640015,71333,16448,54885,23,0.230581,0.998604,0.374653
SNP,10687.599609,71333,0,71333,0,0.0,,
SNP,1069.640015,71333,16405,54928,23,0.22997800000000002,0.9986,0.373856
SNP,107.639999,71333,70710,623,337,0.991266,0.995259,0.993258
SNP,1070.640015,71333,16359,54974,23,0.22933299999999998,0.998597,0.373004
SNP,1071.640015,71333,16311,55022,23,0.22866,0.998592,0.372113
SNP,1072.640015,71333,16265,55068,23,0.228015,0.9985879999999999,0.371258
SNP,1073.640015,71333,16224,55109,23,0.22744,0.9985850000000001,0.370496
SNP,10732.599609,71333,0,71333,0,0.0,,
SNP,1074.640015,71333,16176,55157,23,0.226767,0.9985809999999999,0.369602
SNP,10749.599609,71333,0,71333,0,0.0,,
SNP,1075.640015,71333,16137,55196,23,0.226221,0.998577,0.368875
SNP,1076.640015,71333,16099,55234,23,0.225688,0.998574,0.368167
SNP,1077.640015,71333,16066,55267,23,0.225225,0.9985709999999999,0.367551
SNP,1078.640015,71333,16016,55317,23,0.22452399999999997,0.998567,0.366616
SNP,1079.640015,71333,15968,55365,22,0.223852,0.998625,0.365723
SNP,108.639999,71333,70704,629,337,0.991182,0.995258,0.993216
SNP,1080.640015,71333,15925,55408,22,0.22324899999999998,0.9986209999999999,0.36491799999999996
SNP,1081.640015,71333,15871,55462,22,0.222492,0.998616,0.36390500000000003
SNP,1082.640015,71333,15832,55501,22,0.22194499999999998,0.998613,0.363173
SNP,1083.640015,71333,15786,55547,22,0.2213,0.998609,0.362309
SNP,10836.599609,71333,0,71333,0,0.0,,
SNP,1084.640015,71333,15745,55588,22,0.220725,0.998605,0.361538
SNP,1085.640015,71333,15702,55631,22,0.220123,0.9986010000000001,0.360729
SNP,1086.640015,71333,15666,55667,22,0.21961799999999998,0.998598,0.360051
SNP,1087.640015,71333,15625,55708,22,0.219043,0.9985950000000001,0.35927800000000004
SNP,1088.640015,71333,15586,55747,22,0.218496,0.998591,0.358542
SNP,1089.640015,71333,15540,55793,22,0.21785100000000002,0.9985870000000001,0.357673
SNP,109.639999,71333,70701,632,335,0.9911399999999999,0.995286,0.993209
SNP,1090.640015,71333,15496,55837,22,0.21723499999999998,0.998583,0.35684099999999996
SNP,1091.640015,71333,15461,55872,22,0.216744,0.9985799999999999,0.356179
SNP,10914.000000,71333,0,71333,0,0.0,,
SNP,1092.640015,71333,15423,55910,22,0.21621100000000001,0.998576,0.355459
SNP,10928.599609,71333,0,71333,0,0.0,,
SNP,1093.640015,71333,15392,55941,22,0.215777,0.9985729999999999,0.354871
SNP,1094.599976,71333,15345,55988,22,0.21511799999999998,0.998569,0.353979
SNP,1095.640015,71333,15311,56022,22,0.214641,0.998566,0.35333400000000004
SNP,1096.640015,71333,15276,56057,22,0.214151,0.9985620000000001,0.352668
SNP,1097.640015,71333,15249,56084,22,0.213772,0.99856,0.352155
SNP,1098.640015,71333,15204,56129,22,0.213141,0.998555,0.351298
SNP,1099.640015,71333,15179,56154,22,0.21279099999999998,0.998553,0.35082199999999997
SNP,110.639999,71333,70698,635,334,0.9910979999999999,0.9953,0.993195
SNP,1100.640015,71333,15126,56207,22,0.21204800000000001,0.998548,0.34981100000000004
SNP,1101.640015,71333,15078,56255,22,0.211375,0.9985440000000001,0.34889499999999996
SNP,1102.640015,71333,15036,56297,22,0.210786,0.998539,0.348092
SNP,1103.640015,71333,14991,56342,22,0.210155,0.9985350000000001,0.347231
SNP,1104.640015,71333,14957,56376,22,0.209679,0.998532,0.34658
SNP,1105.640015,71333,14908,56425,22,0.208992,0.998527,0.345641
SNP,1106.640015,71333,14866,56467,22,0.20840300000000003,0.9985229999999999,0.344835
SNP,1107.640015,71333,14830,56503,22,0.207898,0.998519,0.344143
SNP,1108.640015,71333,14784,56549,22,0.20725300000000002,0.9985149999999999,0.34325900000000004
SNP,1109.640015,71333,14738,56595,22,0.20660799999999999,0.99851,0.34237399999999996
SNP,111.250000,71333,70696,637,334,0.9910700000000001,0.9953,0.99318
SNP,111.959999,71333,70689,644,333,0.990972,0.9953129999999999,0.993138
SNP,1110.640015,71333,14686,56647,22,0.205879,0.998505,0.34137199999999995
SNP,1111.640015,71333,14638,56695,22,0.20520700000000003,0.9985,0.340446
SNP,1112.640015,71333,14597,56736,22,0.20463199999999998,0.9984959999999999,0.33965500000000004
SNP,1113.640015,71333,14559,56774,22,0.204099,0.998492,0.33892
SNP,1114.640015,71333,14513,56820,22,0.203454,0.9984870000000001,0.33803
SNP,1115.640015,71333,14473,56860,22,0.20289300000000002,0.998483,0.337256
SNP,1116.640015,71333,14430,56903,22,0.202291,0.9984780000000001,0.336422
SNP,1117.640015,71333,14389,56944,22,0.201716,0.998474,0.335627
SNP,1118.640015,71333,14338,56995,22,0.20100099999999999,0.998468,0.334636
SNP,1119.640015,71333,14293,57040,22,0.20037,0.9984629999999999,0.33376100000000003
SNP,112.639999,71333,70689,644,333,0.990972,0.9953129999999999,0.993138
SNP,1120.640015,71333,14241,57092,22,0.199641,0.998458,0.33274899999999996
SNP,1121.640015,71333,14204,57129,22,0.199122,0.9984540000000001,0.33202800000000005
SNP,1122.640015,71333,14157,57176,22,0.198464,0.998449,0.331111
SNP,1123.640015,71333,14114,57219,22,0.19786099999999998,0.998444,0.33027199999999995
SNP,1124.640015,71333,14068,57265,22,0.197216,0.998439,0.329373
SNP,1125.640015,71333,14036,57297,22,0.196767,0.9984350000000001,0.32874699999999996
SNP,11252.599609,71333,0,71333,0,0.0,,
SNP,1126.640015,71333,13995,57338,22,0.196193,0.998431,0.327944
SNP,11261.599609,71333,0,71333,0,0.0,,
SNP,1127.290039,71333,13951,57382,22,0.195576,0.998426,0.327081
SNP,1128.030029,71333,13949,57384,22,0.195548,0.998426,0.327042
SNP,1128.640015,71333,13912,57421,22,0.195029,0.9984209999999999,0.326316
SNP,1129.640015,71333,13870,57463,22,0.19444,0.998417,0.325491
SNP,11298.599609,71333,0,71333,0,0.0,,
SNP,113.629997,71333,70685,648,332,0.990916,0.9953270000000001,0.993117
SNP,1130.640015,71333,13827,57506,22,0.19383699999999998,0.9984120000000001,0.324646
SNP,1131.640015,71333,13780,57553,22,0.193178,0.9984059999999999,0.323721
SNP,1132.640015,71333,13733,57600,22,0.19252,0.998401,0.322795
SNP,1133.640015,71333,13688,57645,22,0.191889,0.998396,0.32190799999999997
SNP,1134.640015,71333,13632,57701,22,0.191104,0.998389,0.320802
SNP,1135.640015,71333,13593,57740,22,0.190557,0.998384,0.320031
SNP,1136.640015,71333,13553,57780,22,0.189996,0.9983799999999999,0.31924
SNP,1137.640015,71333,13508,57825,22,0.189365,0.998374,0.318348
SNP,1138.640015,71333,13471,57862,22,0.18884700000000001,0.9983700000000001,0.31761500000000004
SNP,1139.640015,71333,13446,57887,22,0.188496,0.998367,0.317119
SNP,114.139999,71333,70679,654,330,0.9908319999999999,0.9953549999999999,0.993088
SNP,114.959999,71333,70675,658,330,0.990776,0.9953540000000001,0.99306
SNP,1140.640015,71333,13405,57928,22,0.187921,0.9983620000000001,0.316305
SNP,1141.640015,71333,13366,57967,22,0.187375,0.9983569999999999,0.31553000000000003
SNP,1142.640015,71333,13329,58004,22,0.186856,0.998352,0.314794
SNP,1143.640015,71333,13287,58046,22,0.18626700000000002,0.998347,0.313958
SNP,1144.640015,71333,13254,58079,22,0.185805,0.998343,0.3133
SNP,1145.640015,71333,13222,58111,22,0.185356,0.998339,0.312662
SNP,1146.640015,71333,13179,58154,22,0.184753,0.998334,0.31180399999999997
SNP,11466.599609,71333,0,71333,0,0.0,,
SNP,1147.640015,71333,13139,58194,22,0.184192,0.9983290000000001,0.311004
SNP,1148.640015,71333,13107,58226,22,0.18374400000000002,0.998325,0.310364
SNP,1149.640015,71333,13071,58262,22,0.183239,0.9983200000000001,0.30964400000000003
SNP,11491.599609,71333,0,71333,0,0.0,,
SNP,115.639999,71333,70675,658,330,0.990776,0.9953540000000001,0.99306
SNP,1150.640015,71333,13019,58314,22,0.18250999999999998,0.9983129999999999,0.308602
SNP,1151.640015,71333,12983,58350,22,0.182006,0.998309,0.30788000000000004
SNP,1152.640015,71333,12939,58394,22,0.18138900000000002,0.998303,0.30699699999999996
SNP,1153.640015,71333,12894,58439,22,0.180758,0.998297,0.306093
SNP,1154.640015,71333,12850,58483,22,0.180141,0.998291,0.305208
SNP,1155.640015,71333,12809,58524,22,0.179566,0.998286,0.30438200000000004
SNP,1156.640015,71333,12764,58569,22,0.17893499999999998,0.99828,0.303475
SNP,1157.640015,71333,12729,58604,22,0.178445,0.998275,0.302769
SNP,1158.640015,71333,12701,58632,22,0.178052,0.9982709999999999,0.302203
SNP,11589.599609,71333,0,71333,0,0.0,,
SNP,1159.640015,71333,12661,58672,22,0.177491,0.998266,0.30139499999999997
SNP,116.639999,71333,70668,665,325,0.9906780000000001,0.995424,0.9930450000000001
SNP,1160.640015,71333,12617,58716,22,0.176875,0.99826,0.300505
SNP,1161.640015,71333,12575,58758,22,0.176286,0.9982540000000001,0.299654
SNP,1162.640015,71333,12532,58801,22,0.175683,0.9982479999999999,0.29878299999999997
SNP,1163.640015,71333,12490,58843,22,0.175094,0.998242,0.297931
SNP,1164.640015,71333,12454,58879,22,0.17459000000000002,0.998237,0.2972
SNP,1165.640015,71333,12408,58925,22,0.17394500000000002,0.99823,0.29626399999999997
SNP,1166.479980,71333,12366,58967,22,0.17335599999999998,0.998224,0.29541
SNP,1167.060059,71333,12360,58973,22,0.173272,0.998224,0.295288
SNP,1167.640015,71333,12322,59011,22,0.172739,0.998218,0.294513
SNP,1168.640015,71333,12278,59055,22,0.172122,0.9982120000000001,0.293616
SNP,1169.640015,71333,12244,59089,22,0.171646,0.998207,0.29292199999999996
SNP,117.639999,71333,70663,670,323,0.990607,0.995452,0.993024
SNP,1170.640015,71333,12195,59138,22,0.170959,0.9982,0.291921
SNP,11705.599609,71333,0,71333,0,0.0,,
SNP,1171.640015,71333,12154,59179,22,0.17038399999999998,0.998193,0.291082
SNP,1172.640015,71333,12113,59220,22,0.169809,0.998187,0.290243
SNP,1173.640015,71333,12068,59265,22,0.169178,0.998181,0.289321
SNP,1174.640015,71333,12025,59308,22,0.168576,0.998174,0.288438
SNP,1175.640015,71333,11982,59351,22,0.167973,0.998168,0.287555
SNP,1176.640015,71333,11945,59388,22,0.167454,0.9981620000000001,0.28679499999999997
SNP,1177.640015,71333,11908,59425,22,0.166935,0.9981559999999999,0.286033
SNP,1178.640015,71333,11867,59466,22,0.16636099999999998,0.99815,0.28518899999999997
SNP,1179.640015,71333,11822,59511,22,0.16573,0.998143,0.284261
SNP,118.639999,71333,70660,673,323,0.9905649999999999,0.995451,0.993002
SNP,1180.640015,71333,11784,59549,22,0.165197,0.998137,0.283477
SNP,1181.640015,71333,11744,59589,22,0.16463599999999998,0.998131,0.28265100000000004
SNP,11811.099609,71333,0,71333,0,0.0,,
SNP,1182.640015,71333,11720,59613,22,0.1643,0.9981270000000001,0.28215500000000004
SNP,1183.640015,71333,11692,59641,22,0.163907,0.998122,0.28157600000000005
SNP,1184.640015,71333,11652,59681,21,0.163347,0.998201,0.28075100000000003
SNP,1185.640015,71333,11620,59713,21,0.16289800000000002,0.9981959999999999,0.280088
SNP,1186.640015,71333,11578,59755,21,0.16230899999999998,0.9981899999999999,0.279217
SNP,11861.599609,71333,0,71333,0,0.0,,
SNP,1187.640015,71333,11559,59774,21,0.162043,0.998187,0.27882199999999996
SNP,11872.099609,71333,0,71333,0,0.0,,
SNP,1188.640015,71333,11523,59810,21,0.16153800000000001,0.998181,0.278075
SNP,1189.640015,71333,11472,59861,21,0.160823,0.998173,0.277014
SNP,119.639999,71333,70651,682,320,0.990439,0.9954930000000001,0.9929600000000001
SNP,1190.640015,71333,11433,59900,21,0.160276,0.998167,0.27620300000000003
SNP,1191.640015,71333,11393,59940,21,0.159716,0.99816,0.27537
SNP,1192.640015,71333,11362,59971,21,0.159281,0.9981549999999999,0.274723
SNP,1193.599976,71333,11326,60007,21,0.158776,0.99815,0.273972
SNP,1194.640015,71333,11289,60044,21,0.15825799999999998,0.998144,0.27319899999999997
SNP,1195.640015,71333,11255,60078,21,0.157781,0.998138,0.272488
SNP,1196.640015,71333,11219,60114,21,0.157276,0.998132,0.271735
SNP,1197.640015,71333,11192,60141,21,0.156898,0.998128,0.27116999999999997
SNP,1198.640015,71333,11153,60180,21,0.156351,0.9981209999999999,0.270353
SNP,1199.640015,71333,11127,60206,21,0.155987,0.998117,0.269808
SNP,120.639999,71333,70648,685,320,0.990397,0.9954930000000001,0.9929379999999999
SNP,1200.640015,71333,11093,60240,21,0.15550999999999998,0.9981110000000001,0.269094
SNP,1201.640015,71333,11047,60286,21,0.154865,0.9981030000000001,0.26812800000000003
SNP,1202.640015,71333,11008,60325,21,0.154318,0.9980959999999999,0.267308
SNP,1203.640015,71333,10974,60359,21,0.153842,0.9980899999999999,0.266592
SNP,1204.640015,71333,10937,60396,21,0.15332300000000001,0.998084,0.265813
SNP,1205.640015,71333,10909,60424,21,0.15293099999999998,0.998079,0.265223
SNP,1206.640015,71333,10874,60459,21,0.15244000000000002,0.998073,0.264484
SNP,1207.640015,71333,10829,60504,21,0.151809,0.998065,0.263534
SNP,1208.640015,71333,10787,60546,21,0.15122,0.998057,0.262646
SNP,12085.599609,71333,0,71333,0,0.0,,
SNP,1209.640015,71333,10750,60583,21,0.150702,0.998051,0.261863
SNP,121.639999,71333,70648,685,320,0.990397,0.9954930000000001,0.9929379999999999
SNP,1210.640015,71333,10713,60620,21,0.15018299999999998,0.998044,0.261079
SNP,12101.599609,71333,0,71333,0,0.0,,
SNP,1211.640015,71333,10681,60652,21,0.14973399999999998,0.9980379999999999,0.26040100000000005
SNP,12112.599609,71333,0,71333,0,0.0,,
